record_id,station_id,plant,region,gas_type,supply_date,supply_volume,revenue,status
1,S1001,Plant_B,South,CNG,2023-12-23,264.69,,Inactive
2,S1002,Plant_A,South,,2023-02-03,498.0,,Inactive
3,S1003,Plant_C,North,,2023-05-22,481.98,,Active
4,S1004,Plant_B,North,CNG,2023-07-02,,155.48,Active
5,S1005,Plant_B,South,,2023-03-19,,,
6,S1006,Plant_C,,LNG,2023-06-04,,171.16,Inactive
7,S1007,Plant_A,South,LNG,2023-03-12,618.87,,
8,S1008,Plant_C,West,,2023-08-24,251.29,,
9,S1009,Plant_D,East,,2023-06-28,,139.4,Inactive
10,S1010,Plant_B,North,CNG,2023-01-11,,,
11,S1011,Plant_A,North,CNG,2023-03-08,498.06,,Inactive
12,S1012,Plant_D,East,PNG,2023-01-05,,404.86,
13,S1013,Plant_C,West,PNG,2023-11-18,,54.46,
14,S1014,Plant_B,South,,2023-11-14,,,Active
15,S1015,Plant_A,West,,2023-12-16,,99.01,Active
16,S1016,Plant_A,South,PNG,2023-02-05,,220.58,
17,S1017,Plant_B,,LNG,2023-06-22,,289.54,Inactive
18,S1018,Plant_D,,CNG,2023-12-05,,,
19,S1019,Plant_D,South,PNG,2023-11-22,794.65,,Active
20,S1020,Plant_C,,,2023-11-19,519.71,57.07,Inactive
21,S1021,Plant_C,South,CNG,2023-11-14,784.82,,
22,S1022,Plant_C,,PNG,2023-07-10,,309.4,
23,S1023,Plant_B,East,LNG,2023-09-17,,140.31,Active
24,S1024,Plant_A,,CNG,2023-08-11,,197.53,Active
25,S1025,Plant_A,West,CNG,2023-01-26,,393.68,Active
26,S1026,Plant_B,East,LNG,2023-04-01,108.71,255.68,Active
27,S1027,Plant_B,East,PNG,2023-02-16,850.15,,
28,S1028,Plant_B,South,LNG,2023-08-21,,158.73,Active
29,S1029,Plant_D,,CNG,2023-12-05,,,Active
30,S1030,Plant_C,East,PNG,2023-09-25,,,Inactive
31,S1031,Plant_B,West,CNG,2023-10-28,458.41,246.65,Inactive
32,S1032,Plant_B,East,PNG,2023-01-19,726.74,,Active
33,S1033,Plant_A,West,CNG,2023-09-03,,,
34,S1034,Plant_D,North,,2023-01-25,,,
35,S1035,Plant_B,West,,2023-04-14,489.59,,Active
36,S1036,Plant_D,South,CNG,2023-12-19,252.23,85.57,
37,S1037,Plant_A,North,LNG,2023-01-11,,,
38,S1038,Plant_D,South,CNG,2023-08-11,,,Active
39,S1039,Plant_B,South,CNG,2023-01-15,813.99,,Inactive
40,S1040,Plant_B,South,,2023-02-27,794.92,,Inactive
41,S1041,Plant_A,East,CNG,2023-01-14,633.67,,Active
42,S1042,Plant_D,East,CNG,2023-04-08,784.5,,Active
43,S1043,Plant_A,West,LNG,2023-11-20,,,
44,S1044,Plant_A,,,2023-05-07,,,Active
45,S1045,Plant_D,East,,2023-03-15,425.02,,Inactive
46,S1046,Plant_B,South,PNG,2023-09-07,,,Active
47,S1047,Plant_C,South,CNG,2023-04-24,560.69,365.89,Inactive
48,S1048,Plant_B,South,CNG,2023-06-14,,,Active
49,S1049,Plant_C,,PNG,2023-08-24,,488.54,
50,S1050,Plant_D,East,LNG,2023-11-07,,387.9,Active
51,S1051,Plant_B,South,PNG,2023-11-05,388.36,,Inactive
52,S1052,Plant_C,East,,2023-12-09,559.52,219.34,Inactive
53,S1053,Plant_D,,PNG,2023-11-28,602.71,178.07,Active
54,S1054,Plant_B,,PNG,2023-02-22,,,
55,S1055,Plant_C,West,PNG,2023-12-04,340.69,363.01,Inactive
56,S1056,Plant_C,North,LNG,2023-03-06,234.05,159.36,Active
57,S1057,Plant_A,North,PNG,2023-07-14,214.45,,Inactive
58,S1058,Plant_A,East,PNG,2023-05-04,944.92,,Inactive
59,S1059,Plant_B,North,,2023-01-08,110.74,449.04,Inactive
60,S1060,Plant_B,North,PNG,2023-05-05,,,Active
61,S1061,Plant_D,,,2023-08-21,265.6,450.8,Inactive
62,S1062,Plant_D,North,PNG,2023-11-12,,241.4,Active
63,S1063,Plant_B,,LNG,2023-09-10,,,Active
64,S1064,Plant_B,South,PNG,2023-01-09,500.09,,Inactive
65,S1065,Plant_C,East,,2023-02-10,972.58,,Active
66,S1066,Plant_A,West,LNG,2023-11-06,205.11,,Active
67,S1067,Plant_C,South,CNG,2023-03-23,,179.52,Inactive
68,S1068,Plant_C,East,CNG,2023-03-02,,191.65,Active
69,S1069,Plant_D,South,CNG,2023-11-05,666.05,136.87,Active
70,S1070,Plant_A,West,CNG,2023-07-08,,270.98,
71,S1071,Plant_B,East,LNG,2023-04-09,,272.6,
72,S1072,Plant_B,East,CNG,2023-05-12,171.79,327.29,
73,S1073,Plant_D,,CNG,2023-01-02,554.45,225.09,Inactive
74,S1074,Plant_B,South,LNG,2023-12-10,952.2,99.66,
75,S1075,Plant_A,West,PNG,2023-06-25,941.67,,Active
76,S1076,Plant_C,North,CNG,2023-04-02,258.83,,Active
77,S1077,Plant_B,West,PNG,2023-10-06,344.96,419.25,
78,S1078,Plant_A,South,PNG,2023-01-25,966.39,336.44,Inactive
79,S1079,Plant_C,,LNG,2023-01-20,836.57,78.64,Inactive
80,S1080,Plant_C,East,,2023-03-07,,270.91,Active
81,S1081,Plant_B,South,PNG,2023-06-16,,57.02,Inactive
82,S1082,Plant_D,,CNG,2023-03-01,,,Active
83,S1083,Plant_A,South,LNG,2023-03-10,,,Inactive
84,S1084,Plant_A,,PNG,2023-07-21,,262.45,Inactive
85,S1085,Plant_D,West,PNG,2023-08-13,,360.88,Inactive
86,S1086,Plant_B,South,CNG,2023-11-13,630.18,210.83,Inactive
87,S1087,Plant_C,East,,2023-09-22,544.09,450.8,Inactive
88,S1088,Plant_B,,PNG,2023-08-19,,,Inactive
89,S1089,Plant_C,South,LNG,2023-02-13,768.94,,
90,S1090,Plant_B,,CNG,2023-10-17,755.07,,
91,S1091,Plant_B,North,LNG,2023-02-28,556.65,245.69,Active
92,S1092,Plant_D,West,CNG,2023-10-03,,241.34,Inactive
93,S1093,Plant_A,East,CNG,2023-01-25,,,
94,S1094,Plant_C,South,CNG,2023-11-18,455.35,320.51,
95,S1095,Plant_B,North,,2023-07-01,721.04,300.09,
96,S1096,Plant_A,South,LNG,2023-10-08,,,
